company,ticker,tier,status,filing_window,fye_month,fate_and_splicing_notes,omega_prior_and_relevance
TOUSA (Technical Olympic USA),TOA,2,bankrupt,1990s-2008,Dec,Chapter 11 Jan 2008; acquired Engle Homes 2000,KEY bust observation; land/JV-heavy; leverage on land
WCI Communities,WCI/WCIC,2,bankrupt,1990s-2008 and 2015-2017,Dec,Ch.11 Aug 2008; re-IPO 2015 as WCIC; acquired by Lennar Feb 2017,KEY bust observation; FL luxury/tower; land-heavy
Orleans Homebuilders,OHB,2,bankrupt,1990s-2010,Jun,Chapter 11 Mar 2010. Check FYE (June),Mid-Atlantic; bust casualty
Dominion Homes,DHOM,2,delisted,1990s-2008,Dec,Taken private 2008 amid distress,Ohio entry-level; bust casualty
William Lyon Homes,WLH,2,acquired,1999-2006 and May 2013-Feb 2020,Dec,Taken private 2006; re-IPO 2013; acquired by Taylor Morrison Feb 2020,Two public windows; CA-heavy
AV Homes,AVHI,2,acquired,1990s-Oct 2018,Dec,Formerly Avatar Holdings; acquired by Taylor Morrison 2018,FL/AZ; active-adult
UCP Inc,UCP,2,acquired,Jul 2013-Aug 2017,Dec,Acquired by Century Communities 2017,CA land developer-builder hybrid; interesting omega structure
New Home Company,NWHM,2,delisted,Jan 2014-Oct 2021,Dec,Taken private by Apollo Oct 2021; later acquired Landsea 2025,CA luxury; asset-light pivot late in window
Brookfield Homes / Brookfield Residential,BHS/BRP,2,delisted,2003-Mar 2015,Dec,BHS 2003-2011 then BRP 2011-2015; taken private by Brookfield 2015,CA/Canada; land development heavy
Comstock Homebuilding,CHCI,2,pivoted,Dec 2004-2018,Dec,Exited homebuilding ~2015-2018; now asset mgmt,Marginal; DC-area small cap; include only if cheap
Forestar Group,FOR,3,active,2007-present,Sep post-DHI,Spun from Temple-Inland 2007; DHI majority stake 2017; FYE aligned to DHI (Sep),NOT a builder: the public land developer; lot delivery schedules; takedown lags
Millrose Properties,MRP,3,active,Feb 2025-present,Dec,Spun from Lennar Feb 2025 as land-banking REIT,NOT a builder: pure land banker; option yields; financed New Home/Landsea deal
